in s,C1 in V
2.226621E+01,-1.42090E-02
2.226669E+01,3.31543E-02
2.226717E+01,1.42090E-02
2.226765E+01,2.36816E-02
2.226813E+01,4.73633E-03
2.226861E+01,2.36816E-02
2.226909E+01,2.36816E-02
2.226957E+01,1.42090E-02
2.227005E+01,4.73633E-03
2.227053E+01,3.31543E-02
2.227101E+01,1.42090E-02
2.227149E+01,4.73633E-03
2.227197E+01,3.31543E-02
2.227245E+01,3.31543E-02
2.227293E+01,5.20996E-02
2.227341E+01,5.20996E-02
2.227389E+01,2.36816E-02
2.227437E+01,3.31543E-02
2.227485E+01,2.36816E-02
2.227533E+01,-4.73633E-03
2.227581E+01,4.73633E-03
2.227629E+01,3.31543E-02
2.227677E+01,2.36816E-02
2.227725E+01,2.36816E-02
2.227773E+01,2.36816E-02
2.227821E+01,1.42090E-02
2.227869E+01,3.31543E-02
2.227917E+01,1.42090E-02
2.227965E+01,4.26270E-02
2.228013E+01,3.31543E-02
2.228061E+01,5.20996E-02
2.228109E+01,2.36816E-02
2.228157E+01,1.42090E-02
2.228205E+01,4.26270E-02
2.228253E+01,2.36816E-02
2.228301E+01,4.73633E-03
2.228349E+01,2.36816E-02
2.228397E+01,2.36816E-02
2.228445E+01,5.20996E-02
2.228493E+01,-2.36816E-02
2.228541E+01,1.42090E-02
2.228589E+01,4.73633E-03
2.228637E+01,1.42090E-02
2.228685E+01,4.73633E-03
2.228733E+01,1.42090E-02
2.228781E+01,4.26270E-02
2.228829E+01,3.31543E-02
2.228877E+01,4.73633E-03
2.228925E+01,3.31543E-02
2.228973E+01,-4.73633E-03
2.229021E+01,2.36816E-02
2.229069E+01,1.42090E-02
2.229117E+01,1.42090E-02
2.229165E+01,1.42090E-02
2.229213E+01,3.31543E-02
2.229261E+01,1.42090E-02
2.229309E+01,-1.42090E-02
2.229357E+01,2.36816E-02
2.229405E+01,1.42090E-02
2.229453E+01,3.31543E-02
2.229501E+01,3.31543E-02
2.229549E+01,4.73633E-03
2.229597E+01,3.31543E-02
2.229645E+01,3.31543E-02
2.229693E+01,-1.42090E-02
2.229741E+01,3.31543E-02
2.229789E+01,1.42090E-02
2.229837E+01,5.20996E-02
2.229885E+01,2.36816E-02
2.229933E+01,2.36816E-02
2.229981E+01,4.73633E-03
2.230029E+01,4.73633E-03
2.230077E+01,4.26270E-02
2.230125E+01,2.36816E-02
2.230173E+01,4.73633E-03
2.230221E+01,1.42090E-02
2.230269E+01,1.42090E-02
2.230317E+01,4.73633E-03
2.230365E+01,2.36816E-02
2.230413E+01,4.73633E-03
2.230461E+01,2.36816E-02
2.230509E+01,2.36816E-02
2.230557E+01,1.42090E-02
2.230605E+01,4.26270E-02
2.230653E+01,2.36816E-02
2.230701E+01,4.73633E-03
2.230749E+01,-4.73633E-03
2.230797E+01,2.36816E-02
2.230845E+01,4.73633E-03
2.230893E+01,3.31543E-02
2.230941E+01,3.31543E-02
2.230989E+01,2.36816E-02
2.231037E+01,3.31543E-02
2.231085E+01,2.36816E-02
2.231133E+01,2.36816E-02
2.231181E+01,4.73633E-03
2.231229E+01,3.31543E-02
2.231277E+01,4.73633E-03
2.231325E+01,4.73633E-03
2.231373E+01,4.73633E-03
2.231421E+01,2.36816E-02
2.231469E+01,2.36816E-02
2.231517E+01,1.42090E-02
2.231565E+01,4.73633E-03
2.231613E+01,3.31543E-02
2.231661E+01,2.36816E-02
2.231709E+01,3.31543E-02
2.231757E+01,1.42090E-02
2.231805E+01,4.73633E-03
2.231853E+01,2.36816E-02
2.231901E+01,3.31543E-02
2.231949E+01,-4.73633E-03
2.231997E+01,4.26270E-02
2.232045E+01,3.31543E-02
2.232093E+01,4.26270E-02
2.232141E+01,2.36816E-02
2.232189E+01,1.42090E-02
2.232237E+01,1.42090E-02
2.232285E+01,2.36816E-02
2.232333E+01,3.31543E-02
2.232381E+01,4.73633E-03
2.232429E+01,3.31543E-02
2.232477E+01,2.36816E-02
2.232525E+01,4.26270E-02
2.232573E+01,2.36816E-02
2.232621E+01,1.42090E-02
2.232669E+01,4.73633E-03
2.232717E+01,2.36816E-02
2.232765E+01,1.42090E-02
2.232813E+01,4.73633E-03
2.232861E+01,3.31543E-02
2.232909E+01,3.31543E-02
2.232957E+01,4.73633E-03
2.233005E+01,3.31543E-02
2.233053E+01,1.42090E-02
2.233101E+01,3.31543E-02
2.233149E+01,1.42090E-02
2.233197E+01,1.42090E-02
2.233245E+01,2.36816E-02
2.233293E+01,1.42090E-02
2.233341E+01,1.42090E-02
2.233389E+01,4.73633E-03
2.233437E+01,4.26270E-02
2.233485E+01,3.31543E-02
2.233533E+01,2.36816E-02
2.233581E+01,-4.73633E-03
2.233629E+01,5.20996E-02
2.233677E+01,1.42090E-02
2.233725E+01,3.31543E-02
2.233773E+01,3.31543E-02
2.233821E+01,1.42090E-02
2.233869E+01,2.36816E-02
2.233917E+01,4.26270E-02
2.233965E+01,4.73633E-03
2.234013E+01,1.42090E-02
2.234061E+01,4.26270E-02
2.234109E+01,2.36816E-02
2.234157E+01,3.31543E-02
2.234205E+01,2.36816E-02
2.234253E+01,4.73633E-03
2.234301E+01,3.31543E-02
2.234349E+01,1.42090E-02
2.234397E+01,2.36816E-02
2.234445E+01,3.31543E-02
2.234493E+01,3.31543E-02
2.234541E+01,3.31543E-02
2.234589E+01,1.42090E-02
2.234637E+01,2.36816E-02
2.234685E+01,5.20996E-02
2.234733E+01,3.31543E-02
2.234781E+01,1.42090E-02
2.234829E+01,4.73633E-03
2.234877E+01,2.36816E-02
2.234925E+01,4.26270E-02
2.234973E+01,3.31543E-02
2.235021E+01,-4.73633E-03
2.235069E+01,2.36816E-02
2.235117E+01,4.73633E-03
2.235165E+01,2.36816E-02
2.235213E+01,4.73633E-03
2.235261E+01,2.36816E-02
2.235309E+01,2.36816E-02
2.235357E+01,-4.73633E-03
2.235405E+01,3.31543E-02
2.235453E+01,1.42090E-02
2.235501E+01,2.36816E-02
2.235549E+01,2.36816E-02
2.235597E+01,4.73633E-03
2.235645E+01,3.31543E-02
2.235693E+01,1.42090E-02
2.235741E+01,3.31543E-02
2.235789E+01,3.31543E-02
2.235837E+01,1.42090E-02
2.235885E+01,4.73633E-03
2.235933E+01,4.73633E-03
2.235981E+01,3.31543E-02
2.236029E+01,1.42090E-02
2.236077E+01,-4.73633E-03
2.236125E+01,4.73633E-03
2.236173E+01,2.36816E-02
2.236221E+01,2.36816E-02
2.236269E+01,1.42090E-02
2.236317E+01,2.36816E-02
2.236365E+01,2.36816E-02
2.236413E+01,1.42090E-02
2.236461E+01,1.42090E-02
2.236509E+01,1.42090E-02
2.236557E+01,2.36816E-02
2.236605E+01,4.73633E-03
2.236653E+01,3.31543E-02
2.236701E+01,2.36816E-02
2.236749E+01,2.36816E-02
2.236797E+01,1.42090E-02
2.236845E+01,2.36816E-02
2.236893E+01,4.73633E-03
2.236941E+01,5.20996E-02
2.236989E+01,4.26270E-02
2.237037E+01,1.42090E-02
2.237085E+01,4.73633E-03
2.237133E+01,3.31543E-02
2.237181E+01,5.20996E-02
2.237229E+01,1.42090E-02
2.237277E+01,1.42090E-02
2.237325E+01,3.31543E-02
2.237373E+01,1.42090E-02
2.237421E+01,2.36816E-02
2.237469E+01,-4.73633E-03
2.237517E+01,2.36816E-02
2.237565E+01,1.42090E-02
2.237613E+01,4.26270E-02
2.237661E+01,1.42090E-02
2.237709E+01,2.36816E-02
2.237757E+01,4.73633E-03
2.237805E+01,1.42090E-02
2.237853E+01,1.42090E-02
2.237901E+01,1.42090E-02
2.237949E+01,3.31543E-02
